LinkIndec,Region Macro,Region Micro,Provincia,Partido,Localidad,Conectividad,Accesos (Conec),Latitud,Longitud
6854100,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,25 de Mayo,ADSL,563,-35.4324152,-60.171624
6854100,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,25 de Mayo,CABLEMODEM,4600,-35.4324152,-60.171624
6854100,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,25 de Mayo,FIBRA OPTICA,4,-35.4324152,-60.171624
6854100,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,25 de Mayo,SATELITAL,818,-35.4324152,-60.171624
6854100,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,25 de Mayo,WIRELESS,727,-35.4324152,-60.171624
6854010,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Agustin Mosconi,SATELITAL,6,-35.7403278,-60.5572213
6854020,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Del Valle,ADSL,181,-35.8994407,-60.7304582
6854020,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Del Valle,Otros,10,-35.8994407,-60.7304582
6854020,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Del Valle,SATELITAL,7,-35.8994407,-60.7304582
6854030,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Ernestina,ADSL,75,-35.2705077,-59.5574743
6854030,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Ernestina,SATELITAL,5,-35.2705077,-59.5574743
6854040,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,SATELITAL,2,-35.1639362,-60.0786924
6854040,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,WIRELESS,181,-35.1639362,-60.0786924
6854050,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Lucas Monteverde,SATELITAL,2,-35.4845683,-59.9843823
6854060,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,CABLEMODEM,782,-35.2733308,-59.7755468
6854060,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,950,-35.2733308,-59.7755468
6854060,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,Otros,20,-35.2733308,-59.7755468
6854060,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,SATELITAL,9,-35.2733308,-59.7755468
6854060,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,WIRELESS,128,-35.2733308,-59.7755468
6854070,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Pedernales,ADSL,372,-35.2667367,-59.6313119
6854070,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Pedernales,FIBRA OPTICA,240,-35.2667367,-59.6313119
6854070,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Pedernales,SATELITAL,6,-35.2667367,-59.6313119
6854070,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Pedernales,WIRELESS,7,-35.2667367,-59.6313119
6854080,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,San Enrique,SATELITAL,5,-35.7702188,-60.3502141
6854090,PBA,INTERIOR PBA,BUENOS AIRES,25 de Mayo,Valdes,SATELITAL,4,-35.6480745,-60.4656515
6588030,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,12 de Octubre,SATELITAL,1,-38.7388808,-62.21265
6588030,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,12 de Octubre,WIRELESS,19,-38.7388808,-62.21265
6588100,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,9 de Julio,ADSL,3158,-35.4439161,-60.8845839
6588100,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,9 de Julio,CABLEMODEM,3408,-35.4439161,-60.8845839
6588100,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,9 de Julio,DIAL UP,80,-35.4439161,-60.8845839
6588100,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,9 de Julio,FIBRA OPTICA,8778,-35.4439161,-60.8845839
6588100,PBA,INTERIOR PBA,BUENOS AIRES,9 de Julio,9 de Julio,SATELITAL,55,-35.4439161,-60.8845839
