Region,Zona,Cod,Nombre,Domicilio,Latitud,Longitud
PROV. DE SANTA FE,ROSARIO,1440,ZANNI,AMENABAR 5359,-32.9635831,-60.6957277
PROV. DE SANTA FE,ROSARIO,1443,ZUCCO,JUAN JOSE PASO 2364,-32.9243005,-60.8083406
PROV. DE SANTA FE,ROSARIO,6467,RUGGERI,BV.AVELLANEDA 735 BIS,-33.0009142,-60.6893291
PROV. DE SANTA FE,ROSARIO,91220,RUPPEL,SALTA 3079,-32.9347407,-60.6633561
PROV. DE SANTA FE,ROSARIO,7118,S.SOLARI,AV. SAN MARTIN 3701,-32.9807713,-60.6444666
PROV. DE SANTA FE,ROSARIO,6891,SAAD,JUJUY 1598,-32.936942,-60.6429156
PROV. DE SANTA FE,ROSARIO,6562,SAAVEDRA,BV.SEGUI 1494,-32.9779495,-60.6517023
PROV. DE SANTA FE,ROSARIO,7071,SAGRIPANTI,JUJUY 2136,-32.9356372,-60.6503214
PROV. DE SANTA FE,ROSARIO,6959,SAIA,AV.FRANCIA 1501,-32.9502822,-60.6675377
PROV. DE SANTA FE,ROSARIO,6713,SALA,MENDOZA 4935/37,-32.9401441,-60.71082
PROV. DE SANTA FE,ROSARIO,7976,SALOMON,MAIPU 3297,-32.9760207,-60.6425708
PROV. DE SANTA FE,ROSARIO,8495,SALTA,URQUIZA 3299,-32.9376822,-60.667215
PROV. DE SANTA FE,ROSARIO,1333,SAN CAYETANO,BUENOS AIRES 2556,-32.9680126,-60.6379229
PROV. DE SANTA FE,ROSARIO,8858,SAN JOSE,PELLEGRINI 1395,-32.9566844,-60.6448957
PROV. DE SANTA FE,ROSARIO,1376,SAN MARTINO,SORRENTO 774,-32.9070848,-60.6897334
PROV. DE SANTA FE,ROSARIO,1425,SANTA MONICA,OVIDIO LAGOS 3049,-32.9686972,-60.6676744
PROV. DE SANTA FE,ROSARIO,6876,SANTA ROSA,ITALIA 2707,-32.9672886,-60.6534919
PROV. DE SANTA FE,ROSARIO,7088,SANTINO,CALLAO 699,-32.94106992,-60.65963689
PROV. DE SANTA FE,ROSARIO,1310,SARANICH,ENTRE RIOS 1107,-32.9497939,-60.641849
PROV. DE SANTA FE,ROSARIO,7096,SARAVALLI,PARAGUAY 1402,-32.9529471,-60.6456748
PROV. DE SANTA FE,ROSARIO,8018,SARTOR,ESPAÑA 901,-32.9462299,-60.6467561
PROV. DE SANTA FE,ROSARIO,6386,SCARAVAGLIONE,CORRIENTES 962,-32.8590204,-60.7866233
PROV. DE SANTA FE,ROSARIO,7099,SCARPIGNATO,BV.OROÑO 1509,-32.9524986,-60.655277
PROV. DE SANTA FE,ROSARIO,7102,SCLOSA,MENDOZA 5555,-32.9409057,-60.6993421
PROV. DE SANTA FE,ROSARIO,14521,SCOLLO,BV. 27 DE FEBRERO 1723,-32.9661456,-60.6523014
